Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.8988,0.2857,0.6154,0.3902,0.3577,0.3876
1,0.9286,0.8566,0.25,0.6364,0.359,0.3287,0.3694
2,0.92,0.8027,0.1964,0.5,0.2821,0.2481,0.2789
3,0.9229,0.801,0.2143,0.5455,0.3077,0.275,0.3091
4,0.93,0.8488,0.2679,0.6522,0.3797,0.3494,0.3887
5,0.9299,0.8972,0.25,0.6667,0.3636,0.3346,0.3803
6,0.9299,0.8133,0.2321,0.6842,0.3467,0.319,0.372
7,0.9185,0.8197,0.1607,0.4737,0.24,0.2078,0.2423
8,0.9385,0.809,0.3036,0.8095,0.4416,0.416,0.4729
9,0.9399,0.8634,0.3214,0.8182,0.4615,0.4361,0.4901
Mean,0.9287,0.841,0.2482,0.6402,0.3572,0.3272,0.3691
Std,0.0066,0.0355,0.0469,0.1096,0.0645,0.0667,0.0735
